iter	RMSE
192	0.2519567249
193	0.2517741149
194	0.2515442837
195	0.2513586429
196	0.2513330759
197	0.2508303439
198	0.2507089759
199	0.2504724379
200	0.2502805153
201	0.2501699923
202	0.2500920288
203	0.2499849734
204	0.2499639628
205	0.2498165756
206	0.249487117
207	0.2493850366
208	0.2490110749
209	0.2488755041
210	0.2485532776
211	0.2483145115
212	0.2482267388
213	0.2482076451
214	0.247916177
215	0.2475159781
216	0.2471844757
217	0.2468568524
218	0.2467889394
219	0.2466496014
220	0.2466302012
221	0.2466122592
222	0.2463622262
223	0.2462219868
224	0.2459571455
225	0.2458478842
226	0.2456920759
227	0.2454401259
228	0.2451478432
229	0.2450705415
230	0.2447677449
231	0.2445291897
232	0.2445107675
233	0.244494535
234	0.2442807646
235	0.2442215955
236	0.2442044272
237	0.2439381878
238	0.2437829387
239	0.2434841675
240	0.2432926985
241	0.2432758587
242	0.2431023935
243	0.2427690924
244	0.2426958399
245	0.2426798445
246	0.242630148
247	0.2425852695
248	0.2424263168
249	0.2423778384
250	0.2421681435
251	0.2418555419
252	0.2415715565
253	0.2413933619
254	0.2412133103
255	0.2411985894
256	0.2410886881
257	0.2408654618
258	0.2406686812
259	0.2406254131
260	0.2404021169
261	0.2403883526
262	0.2402202549
263	0.2400061184
264	0.2398484088
265	0.2396825357
266	0.2394309237
267	0.2391642567
268	0.2389956178
269	0.2387992928
270	0.2386888444
271	0.2385791107
272	0.2384892263
273	0.2383984705
274	0.2382157695
275	0.2381768294
276	0.2379040914
277	0.2378623967
278	0.2377226041
279	0.2374800153
280	0.2371686176
281	0.2371560484
282	0.2370965583
283	0.2369659797
284	0.2368266495
285	0.2367680969
286	0.2365340659
287	0.23631111
288	0.2362766418
289	0.2360417561
290	0.2359012722
291	0.2357687586
292	0.2355638744
293	0.2354621324
294	0.2353246587
295	0.2352793571
296	0.2352679823
297	0.2350919617
298	0.2350263775
299	0.2349702592
300	0.2348950009
301	0.2347220805
302	0.234695807
303	0.2346014789
304	0.234493194
305	0.2342997755
306	0.234179768
307	0.2341694611
308	0.2339595038
309	0.2337949548
310	0.2336995015
311	0.2335138204
312	0.2334075644
313	0.2333639005
314	0.2332411073
315	0.233081384
316	0.2330133709
317	0.2328371028
318	0.232567443
319	0.2324453107
320	0.2323184873
321	0.2321671519
322	0.2320684395
323	0.2320284993
324	0.2319369524
325	0.2318185338
326	0.2315677315
327	0.2314152283
328	0.2313967261
329	0.2312637044
330	0.2311893271
331	0.2311665354
332	0.2310939327
333	0.2309864877
334	0.2309558339
335	0.230795055
336	0.230771257
337	0.2306682686
338	0.230587164
339	0.2304578165
340	0.2303501141
341	0.2302497844
342	0.2302408188
343	0.23008673
344	0.2299125346
345	0.2297269255
346	0.2296585903
347	0.2296488244
348	0.2295483622
349	0.2295161016
350	0.2294145278
351	0.2293037216
352	0.2292156359
353	0.2291286629
354	0.2290531376
355	0.2290449418
356	0.2290358528
357	0.2288728151
358	0.2287208762
359	0.2285782307
360	0.2284407362
361	0.2283348563
362	0.2281674018
363	0.2280199294
364	0.2279948146
365	0.2279321387
366	0.2277891762
367	0.2277051287
368	0.2275855793
369	0.2275511823
370	0.2274354744
371	0.2274118723
372	0.2273900863
373	0.2272904318
374	0.2272560409
375	0.2272011702
376	0.2271207696
377	0.227011632
378	0.2268501351
379	0.226778154
380	0.2266669929
381	0.2266326046
382	0.2265271589
383	0.2264555221
384	0.2263506249
385	0.226341018
386	0.2262580498
387	0.2261307216
388	0.226037777
389	0.2260148176
390	0.2259257337
391	0.2257702598
392	0.2257206982
393	0.2256311361
394	0.2254885483
395	0.2253595761
396	0.2252998508
397	0.2252171322
398	0.2252092428
399	0.2252005311
400	0.2251096647
401	0.22499163
402	0.2249626771
403	0.2249370001
404	0.2248640813
405	0.2248571533
406	0.2247669668
407	0.2246585847
408	0.2245101746
409	0.2244300797
410	0.2243177921
411	0.224236013
412	0.2241606079
413	0.2240736272
414	0.2239456059
415	0.2239342058
416	0.2238174183
417	0.2237621573
418	0.2237402408
419	0.2236363054
420	0.2236298697
421	0.223560373
422	0.223541187
423	0.22352267
424	0.2233954944
425	0.2232737191
426	0.2232231061
427	0.2230883163
428	0.2230029502
429	0.2229229944
430	0.2228473474
431	0.2227523223
432	0.2226445088
433	0.2226234907
434	0.222471269
435	0.2223995738
436	0.2222977214
437	0.2221793419
438	0.2220722607
439	0.221994787
440	0.2218953807
441	0.2218715864
442	0.2217150213
443	0.2216432184
444	0.2215465619
445	0.2214838263
446	0.2214785514
447	0.2213990596
448	0.2213190897
449	0.2212342622
450	0.221170923
451	0.2211352403
452	0.2210052821
453	0.2209332305
454	0.2208702099
455	0.2208107043
456	0.2207733871
457	0.2207162464
458	0.2206421547
459	0.2205435395
460	0.2204996965
461	0.2204658628
462	0.2203631226
463	0.2203576139
464	0.2202725694
465	0.2201647722
466	0.2201598229
467	0.220109056
468	0.2200417354
469	0.2199792479
470	0.2199537048
471	0.2198448262
472	0.2197758007
473	0.219727447
474	0.2196224684
475	0.2195554011
476	0.2194562261
477	0.2194461199
478	0.2193787531
479	0.2193061054
480	0.2192965153
481	0.2192490726
482	0.2191409436
483	0.2190831628
484	0.2190289391
485	0.218976676
486	0.2188393254
487	0.2187591355
488	0.2186695801
489	0.2185598032
490	0.21846716
491	0.2183963555
492	0.2183313622
493	0.2183267402
494	0.2182590516
495	0.2182121268
496	0.2182076275
497	0.2181558672
498	0.2180956053
499	0.2180611427
